Location_Code,Location_Value
01,Food Sales/Restaurant
02,Tavern/Liquor Store
03,Other Business Establishment
04,Police Building
05,Lockup Facility
06,Police Maintenance Facility
07,CPD Automotive Pound Facility
08,Other Police Property
09,Police Communications Systems
10,Court Room
11,Public Transportation Vehicle/Facility
12,Park District Property
13,Airport
14,Public Property - Other
15,Other Private Premise
16,Expressway/Interstate System
17,Public Way - Other
18,Waterway Including Park District
19,Private Residence
,